TitleForSorting,TitleClean,Status,Remarks,CarouselFlag,CarouselOrder,CarouselSnippet,ExampleFlag,ExampleSnippet,FilmReleased,Year,Released,Actors,Awards,WonAward,Country,Director,Genre,Plot,Poster,Rated,CurrentWar,Runtime,DatabaseTitle,ratingRT,ratingMetacritic,ratingImdb,imdbID,imdbVotes
WAITING FOR THE LIGHT,WAITING FOR THE LIGHT,LIMITED,STOCK FOOTAGE WAS APPROVED FOR THE FILM.,,,,,,TRUE,1990,11/2/1990,"Louis Guzzo, Colin Baumgartner, Hillary Wolf, Teri Garr",,FALSE,USA,Christopher Monger,Comedy,"A former vaudevillian magician (MacLaine) moves her straight-laced niece (Garr) and her two mischievous children to a small town. When the two kids get in trouble with a neighbor for stealing vegetables from his garden, the aunt concocts an illusion of ghosts in revenge. Only trouble is the whole town believes it is real and soon the press is swarming the town and a major magic trick is required for everyone to save face.",https://m.media-amazon.com/images/M/MV5BODU1YmY1YjAtZWRiNi00YzQ1LWJmOGYtMmRiNzcwNTc3ZmUzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,PG,Gulf War,94,Waiting for the Light,91%,,6,tt0100899,404
HOLD 'EM NAVY,HOLD 'EM NAVY,APPROVED,TYPICAL ANNAPOLIS STORY CENTERED ON ARMY/NAVY GAME,,,,,,TRUE,1937,11/5/1937,"Lew Ayres, Mary Carlisle, John Howard, Benny Baker",,FALSE,USA,Kurt Neumann,"Drama, Sport","When Tommy Graham enters the U. S. Naval Academy (Annapolis) he incurs the enmity of upperclassman Chuck Baldwin, football star, by falling for Chuck's girl, Judy Holland. The night before the big game of the plebe (freshman) season, Tommy sneaks out to see Judy, Baldwin sees him, reports him, and Tommy is not allowed to play in the game. The following year, the two rivals for Judy are also competing for the quarterback position on the varsity team for Navy. Baldwin wins the position but the night before the big game against West Point (Army) Baldwin breaks the team-curfew rule. Tommy covers for him and ends up being suspended. Will Baldwin do the right thing?",https://m.media-amazon.com/images/M/MV5BYTA1NzViMzMtMTg2NC00OGVmLTlkOWQtOTYxYmE5ODM3ZDk5XkEyXkFqcGdeQXVyMzk3NTUwOQ@@._V1_SX300.jpg,APPROVED,,64,Hold 'Em Navy,,,6.6,tt0029008,7
FLYING FLEET,FLYING FLEET,APPROVED,NAVAL AVIATION STORY WHICH RECEIVED FULL COOPERATION,,,,,,TRUE,1929,1/19/1929,"Ramon Novarro, Ralph Graves, Anita Page",,FALSE,USA,George W. Hill,"Adventure, Drama, Romance","The story follows six midshipman after they graduate from Annapolis. Their goal is to become U.S. Navy pilots and three of them are eliminated at the San Diego Naval Base. The remaining three undergo grueling weeks of training at Pensacole Florida, and one crashes. The remaining two get their ""wings"" and are sent back to San Diego as full-fledged ""Sea Hawks"", and prepare there for the first Honolulu flight.",https://m.media-amazon.com/images/M/MV5BNjE2MzM2NDMwM15BMl5BanBnXkFtZTgwMjYzNjYzMjE@._V1_SX300.jpg,PASSED,,100,The Flying Fleet,,,6.7,tt0019886,201
"GREAT ESCAPE, THE",THE GREAT ESCAPE,LIMITED,CLASSIC POW ESCAPE FILM BASED ON ACTUAL INCIDENT,,,,,,TRUE,1963,7/4/1963,"Steve McQueen, James Garner, Richard Attenborough, James Donald",Nominated for 1 Oscar. Another 2 wins & 10 nominations.,TRUE,USA,John Sturges,"Adventure, Drama, History, Thriller, War","Based on a true story, a group of allied escape artist-type prisoners-of-war (POWs) are all put in an 'escape proof' camp. Their leader decides to try to take out several hundred all at once. The first half of the film is played for comedy as the prisoners mostly outwit their jailers to dig the escape tunnel. The second half is high adventure as they use boats and trains and planes to get out of occupied Europe.",https://m.media-amazon.com/images/M/MV5BNzA2NmYxMWUtNzBlMC00MWM2LTkwNmQtYTFlZjQwODNhOWE0XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Approved,Vietnam War,172,The Great Escape,94%,86,8.2,tt0057115,"221,195"
TRANSFORMERS: REVENGE OF THE FALLEN,TRANSFORMERS: REVENGE OF THE FALLEN,APPROVED,DOD SUPPORT NOTIFICATION LETTER SIGNED - PHASE 1,,,,,,TRUE,2009,6/24/2009,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",Nominated for 1 Oscar. Another 15 wins & 27 nominations.,TRUE,USA,Michael Bay,"Action, Adventure, Sci-Fi","A youth chooses manhood. The week Sam Witwicky starts college, the Decepticons make trouble in Shanghai. A presidential envoy believes it's because the Autobots are around; he wants them gone. He's wrong: the Decepticons need access to Sam's mind to see some glyphs imprinted there that will lead them to a fragile object that, when inserted in an alien machine hidden in Egypt for centuries, will give them the power to blow out the sun. Sam, his girlfriend Mikaela Banes, and Sam's parents are in danger. Optimus Prime and Bumblebee are Sam's principal protectors. If one of them goes down, what becomes of Sam?",https://m.media-amazon.com/images/M/MV5BNjk4OTczOTk0NF5BMl5BanBnXkFtZTcwNjQ0NzMzMw@@._V1_SX300.jpg,PG-13,Iraq War,149,Transformers: Revenge of the Fallen,20%,35,6,tt1055369,"380,463"
FACE OF WAR,FACE OF WAR,APPROVED,MARINE CORPS DOCUMENTARY ABOUT WORLD WAR II COMBAT,,,,,,TRUE,1968,5/10/1968,Michael Mileham,1 win.,TRUE,USA,Eugene S. Jones,"Documentary, War",Most powerful Vietnam war doco not available except on Facebook page,https://m.media-amazon.com/images/M/MV5BYzVkMmIyOWItNDE0Mi00Yzc1LWJlMzYtNGQ3ZTRjMWNiNmU0XkEyXkFqcGdeQXVyMjE1NjYxOQ@@._V1_SX300.jpg,Approved,Vietnam War,72,A Face of War,,,8.8,tt0169885,35
FLIGHT DECK,FLIGHT DECK,APPROVED,"APPROVED, BUT CAN'T TELL IF EVER ACTUALLY PRODUCED",,,,,,TRUE,1988,1/1/1988,"Rodger Parsons, Gregg Southgate, Gary Tritt, Bob Ewen",,FALSE,,Richard C. Milligan,Documentary,"There is no single weapon so flexible, so formidable, so capable of projecting power as an aircraft carrier and its Air Wing. Now see and feel what life on and above the Flight Deck is all about with an inside look at: The modern-day carrier Air Wing in action. Breathtaking cockpit views of missions, day & night landings and the treacherous environment of the deck crews. The staggering logistical requirements and role of the ""flat top"" and its battle group.",https://m.media-amazon.com/images/M/MV5BMTI5NDA3NTUwMF5BMl5BanBnXkFtZTcwMTA3OTUxMQ@@._V1_SX178_.jpg,,,48,Flight Deck,,,,tt0167160,
SUMMER RENTAL,SUMMER RENTAL,DENIED,DENIED: NOT IN THE BEST INTEREST OF THE DEPARTMENT.,,,,,,TRUE,1985,8/9/1985,"John Candy, Karen Austin, Kerri Green, Joey Lawrence",3 nominations.,TRUE,USA,Carl Reiner,Comedy,"Jack Chester, an overworked air traffic controller, takes his family on vacation to the beach. Things immediately start to go wrong for the Chesters, and steadily get worse. Jack ends up in a feud with a local yachtsman, and has to race him to regain his pride and family's respect.",https://m.media-amazon.com/images/M/MV5BODkxMjUzYzEtNjA0My00M2Q4LWE0NzEtMDIxYTdhM2Y3ZDgzL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG,,87,Summer Rental,17%,38,6.3,tt0090098,"13,610"
AT WAR WITH THE ARMY,AT WAR WITH THE ARMY,APPROVED,"DEAN MARTIN, JERRY LEWIS COMEDY SET IN PEACETIME ARMY",,,,,,TRUE,1950,1/17/1951,"Dean Martin, Jerry Lewis, Mike Kellin, Jimmie Dundee",,FALSE,USA,Hal Walker,"Comedy, Musical, War","Alvin Corwin is low man on the totem pole, and goes from one mishap to another at an army training camp in World War II.",https://m.media-amazon.com/images/M/MV5BNGRiNTg2MDgtMmM1Ni00MzNjLTliYjItNWM4ZmNiYzdmYTk1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Not Rated,Korean War,93,At War with the Army,59%,,5.7,tt0042209,"2,057"
GUNG HO!: THE STORY OF CARLSON'S MAKIN ISLAND RANGERS,GUNG HO!: THE STORY OF CARLSON'S MAKIN ISLAND RANGERS,APPROVED,FULL MARINE COOPERATION AT MARINE CORPS BASE CAMP PENDLETON.,,,,,,TRUE,1943,12/20/1943,"Randolph Scott, Alan Curtis, Noah Beery Jr., J. Carrol Naish",,FALSE,USA,Ray Enright,"Drama, History, War","Seven weeks after Pearl Harbor, volunteers form the new 2nd Marine Raider Battalion whose purpose is to raid Japanese-held islands. The men selected come from different walks of life but have toughness in common. Under command of Colonel 'Thorwald', they're trained in all imaginable forms of combat. Then, after a perilous submarine journey, they face a daunting first mission: to annihilate the much larger Japanese garrison on Makin Island, in a lengthy battle sequence.",https://m.media-amazon.com/images/M/MV5BMmJmMmNmOGEtNWM2Ny00NTVjLTllZmMtMDhkZWUzYzcxYzhkXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,Approved,World War II,88,Gung Ho!': The Story of Carlson's Makin Island Raiders,49%,,6.1,tt0035958,"1,251"
84C MoPic,84C MoPic,OTHER,VIETNAM MOVIE ABOUT MOTION PICTURE CORRESPONDENTS. ASSISTANCE NOT REQUESTED.,,,,,,TRUE,1989,4/7/1989,"Jonathan Emerson, Nicholas Cascone, Jason Tomlins, Christopher Burgard",3 nominations.,TRUE,USA,Patrick Sheane Duncan,"Drama, War",Impressive performance by unknown actors in this low-budget Vietnam drama. The story is being told in the form of a documentary; a camera team follows an Army unit in pursuit of 'Charlie'. Filmed in Southern California. The movie's producing company itself is called '84 Charlie MoPic'.,https://m.media-amazon.com/images/M/MV5BODIxNTUzOTc4MV5BMl5BanBnXkFtZTcwODk3NzU4MQ@@._V1_SX300.jpg,R,,95,84C MoPic,,,6.9,tt0096744,"1,664"
CONVOY,CONVOY,APPROVED,FULL NAVY COOPERATION ON FEATURE SET IN WORLD WAR I.,,,,,,TRUE,1927,4/24/1927,"Lowell Sherman, Dorothy Mackaill, William Collier Jr., Lawrence Gray",,FALSE,USA,"Joseph Boyle, Lothar Mendes",Drama,Convoy is a lost 1927 silent World War I drama starring Lowell Sherman and Dorothy Mackaill and released through First National Pictures.,https://m.media-amazon.com/images/M/MV5BZTI0Yjk5ZWItMzg4ZC00YTcwLThjZjctNTdkZDFkYTg5ZDk4XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,,,80,Convoy,,,6.3,tt0017774,7
ARMORED COMMAND,ARMORED COMMAND,APPROVED,ARMY PROVIDED MEN AND EQUIPMENT FOR WORLD WAR II STORY,,,,,,TRUE,1961,7/9/1961,"Howard Keel, Tina Louise, Warner Anderson, Earl Holliman",,FALSE,USA,Byron Haskin,"Drama, War",An American army unit is trapped behind German lines in a small town by a German counterattack. The unit's commander discovers that there is a spy in town among the civilian population who is providing the Germans with military information.,https://m.media-amazon.com/images/M/MV5BNGI2ZTViZTUtNDNmMi00MDBlLWFlMjctOTEzOWM4MjY2NzI1XkEyXkFqcGdeQXVyMjU5OTg5NDc@._V1_SX300.jpg,Approved,Vietnam War,99,Armored Command,20%,,5.3,tt0054636,199
GIANT,GIANT,LIMITED,ARMY PROVIDED BURIAL DETAIL FOR ONE SCENE IN THE MOVIE,,,,,,TRUE,1956,11/24/1956,"Elizabeth Taylor, Rock Hudson, James Dean, Carroll Baker",Won 1 Oscar. Another 6 wins & 15 nominations.,TRUE,USA,George Stevens,"Drama, Western","Texan rancher Bick Benedict visits a Maryland farm to buy a prize horse. Whilst there he meets and falls in love with the owner's daughter Leslie, they are married immediately and return to his ranch. The story of their family and its rivalry with cowboy and (later oil tycoon) Jett Rink unfolds across two generations.",https://m.media-amazon.com/images/M/MV5BODk3YjdjZTItOGVhYi00Mjc2LTgzMDAtMThmYTVkNTBlMWVkXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,G,Vietnam War,201,Giant,95%,84,7.6,tt0049261,"33,452"
HELL BELOW,HELL BELOW,APPROVED,NAVY GAVE FULL COOPERATION TO WORLD WAR I SUBMARINE STORY.,,,,,,TRUE,1933,6/9/1933,"Robert Montgomery, Walter Huston, Madge Evans, Jimmy Durante",,FALSE,USA,Jack Conway,"Romance, Drama, War","On leave in Italy, Lt. Tommy Knowlton falls in love with Jean Standish, who's not only married, but is the daughter of his submarine's commander. Friction between the two officers becomes intolerable once at sea and after Commander Toler is forced to abandon Tommy's best friend topside while the sub dives to escape enemy planes, Tommy is no longer able to contain his anger.",https://m.media-amazon.com/images/M/MV5BMTQ4NzkzNDQwN15BMl5BanBnXkFtZTgwNTMyMzQwMjE@._V1_SX300.jpg,Passed,,101,Hell Below,67%,,6.6,tt0024100,428
55 DAYS AT PEKING,55 DAYS AT PEKING,OTHER,PERIOD PIECE ABOUT MARINES IN CHINA DURING THE BOXER REBELLION,,,,,,TRUE,1963,5/6/1963,"Charlton Heston, Ava Gardner, David Niven, Flora Robson",Nominated for 2 Oscars. Another 3 nominations.,TRUE,USA,"Nicholas Ray, Guy Green","Action, Adventure, Drama, History, War","Diplomats, soldiers and other representatives of a dozen nations fend off the siege of the International Compound in Peking during the 1900 Boxer Rebellion. The disparate interests unite for survival despite competing factions, overwhelming odds, delayed relief and tacit support of the Boxers by the Empress of China and her generals.",https://m.media-amazon.com/images/M/MV5BOWRjMDk1NTQtZTE0Zi00MjQ4LTk5ZjktNzNiZmVmMWEzYTJhXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,Unrated,Vietnam War,154,55 Days at Peking,57%,,6.7,tt0056800,"5,895"
"GIRL HE LEFT BEHIND, THE",THE GIRL HE LEFT BEHIND,APPROVED,SILLY ARMY COMEDY FOLLOWS NEW RECRUIT THROUGH TRIALS AND TRIBULATIONS,,,,,,TRUE,1956,5/31/1957,"Tab Hunter, Natalie Wood, Jessie Royce Landis, Jim Backus",,FALSE,USA,David Butler,"Comedy, Drama","College students Andy Shaeffer and Susan Daniels are pinned. While Susan works hard to put herself through college, Andy sponges off his parents, his mother, Madeline Shaeffer, who in particular will give him whatever he wants. In other words, Andy is a mama's boy, which he doesn't really realize. Andy and Susan have used the word love to describe their relationship, but Susan isn't sure if that's what they are really feeling for each other or if it is solely a loveless passion. And if it is love, she isn't sure their relationship can survive without Andy taking some ownership of his life. The near end of their relationship, initiated by Susan, leads to Andy starting to flunk out of college, which in turn makes Andy a prime candidate to be drafted. During basic training at Camp Ord, California, Andy makes it clear to his superiors and his fellow privates that he doesn't want to be there and will do only what is requested of him without any extra effort. His superiors and fellow privates in turn see that Andy's privileged life has not done him any favors, especially after Mrs. Shaeffer makes a visit to the camp. But after it looks like Andy may be a lost cause, his superiors make a bold move to try and turn him into a man.",https://m.media-amazon.com/images/M/MV5BN2RiOTYyOWQtMzEyYy00MzlmLThjYmYtODg2M2FkMTZmNzRiXkEyXkFqcGdeQXVyMjkxNDk3MjQ@._V1_SX300.jpg,Not Rated,Vietnam War,103,The Girl He Left Behind,0%,,5.4,tt0049264,405
BATTLE AT BLOODY BEACH,BATTLE AT BLOODY BEACH,APPROVED,"FULL ARMY COOPERATION ON WORLD WAR II FILM, MEN AND EQUIPMENT",,,,,,TRUE,1961,6/1/1961,"Audie Murphy, Gary Crosby, Dolores Michaels, Alejandro Rey",,FALSE,USA,Herbert Coleman,"Drama, War","This is only the second Audie Murphy movie set in WWII after his autobiographical ""To Hell and Back."" Here Murphy steps out of his usual kid-Western role to play a civilian working for the Navy helping supply guerilla insurgents in the Philippines. His sole motive is not politics nor bravery, but to find his bride from whom he was separated during the Japanese invasion two years before.",https://m.media-amazon.com/images/M/MV5BOTM4YzZiMjQtNTExNy00NDMyLWI2ZTgtZDEyYzRjZWU0OWNhL2ltYWdlXkEyXkFqcGdeQXVyMDM0NzcxMQ@@._V1_SX300.jpg,Approved,Vietnam War,83,Battle at Bloody Beach,0%,,5.7,tt0054671,404
COURT MARTIAL OF BILLY MITCHELL,COURT MARTIAL OF BILLY MITCHELL,LIMITED,VERY LIMITED ASSISTANCE IN THE FORM OF NEWSREEL FOOTAGE AND ADVICE,,,,,,TRUE,1955,12/31/1955,"Gary Cooper, Charles Bickford, Ralph Bellamy, Rod Steiger",Nominated for 1 Oscar. Another 1 nomination.,TRUE,USA,Otto Preminger,"Biography, Drama, War","The true story of General Billy Mitchell, a pioneering crusader for the Army's fledgling air corp. In spite of an impressive performance during the First World War, the commanders of America's armed forces still think of the airplane as little more then a carnival attraction. Even after sinking an ""unsinkable"" captured German battleship from the air, Mitchell sees funds dry up and friends die due to poor equipment. He is court-martialed after questioning the loyalty of his superiors for allowing the air corp to deteriorate.",https://m.media-amazon.com/images/M/MV5BYjI5NjIyZjEtMmMwMC00ZTM4LWI0YjQtNDkzNWMwYTdjY2EyXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Approved,Vietnam War,100,The Court-Martial of Billy Mitchell,100%,,6.8,tt0047956,"1,741"
MIDSHIPMAN JACK,MIDSHIPMAN JACK,APPROVED,ANOTHER ANNAPOLIS STORY WHICH NAVY ALLOWED TO BE FILMED AT ACADEMY,,,,,,TRUE,1933,9/22/1933,"Bruce Cabot, Betty Furness, Frank Albertson, Arthur Lake",,FALSE,USA,Christy Cabanne,"Action, Adventure, Drama","Given a last chance, after failing to graduate with his class at the United States Naval Academy in Annapolis,Maryland because he was reported by a jealous rival for being out after 'Taps,""...",,PASSED,,71,Midshipman Jack,,,5.3,tt0024336,26
FRANCIS GOES TO WEST POINT,FRANCIS GOES TO WEST POINT,APPROVED,ARMY ALLOWED FILMMAKERS TO SHOOT EXTERIOR SCENES AT THE MILITARY ACADEMY,,,,,,TRUE,1952,7/1/1952,"Donald O'Connor, Lori Nelson, Alice Kelley, Gregg Palmer",,FALSE,USA,Arthur Lubin,"Comedy, Fantasy",Francis the talking mule gets his owner in and out of trouble while he is taking basic training at West Point.,https://m.media-amazon.com/images/M/MV5BMjAwMDY1MTczNF5BMl5BanBnXkFtZTcwMDg3MTcxMQ@@._V1_SX300.jpg,,Korean War,81,Francis Goes to West Point,17%,,6.4,tt0044633,336
MCHALE'S NAVY,MCHALE'S NAVY,LIMITED,BASED ON TELEVISION SERIES ABOUT A PT-BOAT. NAVY PROVIDED LIMITED ASSISTANCE,,,,,,TRUE,1964,6/1/1964,"Ernest Borgnine, Tim Conway, Joe Flynn, Bob Hastings",,FALSE,USA,Edward Montagne,"Comedy, War",The hilarious misadventures of the crew of PT-73 during World War II in the Pacific.,https://m.media-amazon.com/images/M/MV5BOGM4MGYwYTgtNjg3Yy00MTAzLTlmNzItNWU1ZDUwYWZjNjdhXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,TV-G,Vietnam War,93,McHale's Navy,59%,,6.6,tt0058336,824
RULES OF ENGAGEMENT,RULES OF ENGAGEMENT,APPROVED,DATE APPROXIMATED WHEN THIS PROJECT WAS RECEIVED AND SCRIPT REVIEW UNDERTAKEN,,,,,,TRUE,2000,4/7/2000,"Tommy Lee Jones, Samuel L. Jackson, Guy Pearce, Ben Kingsley",1 win & 2 nominations.,TRUE,"UK, Germany, Canada, USA",William Friedkin,"Drama, Thriller, War","Hayes Hodges finds his career aspirations dashed when he's wounded in Vietnam combat. He then returns to America and becomes a disillusioned lawyer who goes up against the service to defend Colonel Terry Childers, who is accused of inciting an incident that leaves many demonstrators dead. Hodges in no position to decline: Childers heroically saved his life back in Vietnam.",https://m.media-amazon.com/images/M/MV5BZjZmNWI1MTgtZjVjNi00M2FjLWI4YjUtNzkwNmYyMzM4NjMwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,R,,128,Rules of Engagement,36%,45,6.4,tt0160797,"43,808"
