Title,Subtitle,Status,Year,Remarks,Interesting?
AERIAL GUNNER,,APPROVED,1943,ARMY AIR CORPS PROVIDED ACCESS TO THE HARLINGEN AERIAL GUNNERY SCHOOL FOR FILMMAKERS TO SHOW HOW IT TRAINED BOMBER GUNNERS AND IT ALSO PROVIDED PLANES TO STAGE MISSION AGAINST JAPANESE IN SOUTH PACIFIC.,
AIR CADET,,APPROVED,1951,"AIR FORCE CADETS LEARNING TO BECOME FIGHTER PILOTS IN WORLD WAR II. FULL COOPERATION OF PLANES, EQUIPMENT, AND LOCALES",
AIR DEVILS,,APPROVED,1938,MARINES PROVIDED ROUTINE ASSISTANCE IN THE FORM OF MEN AND PLANES FOR TYPICAL STORY OF FLIERS PURSUING THE SAME GIRL DURING PEACETIME,
AIR FORCE,,APPROVED,1943,"ARMY AIR CORPS PROVIDED FULL ASSISTANCE AT AN AIR BASE NEAR TAMPA FOR FILM ABOUT THE MARY ANNE ARRIVED IN PEARL HARBOR ON DECEMBER 7. HAP ARNOLD PROVIDED THE TECHNICAL ADVISOR WITH A CARD HE SHOWED WHEN HE NEEDED TO USE BOMBERS AND FIGHTERS. FILM MADE IN FLORIDA TO AVOID HAVING PLANES WITH JAPANESE INSIGNIA FLYING OVER SOUTHERN CALIFORNIA. THE CLIMACTIC BATTLE, OFTEN DESCRIBED AS MIDWAY, WAS FILMED AT THE WARNER BROTHERS ""SEA"" USING MINIATURES IN FEBRUARY, 1942",
AIR FORCE ONE,,APPROVED,1997,AIR FORCE PROVIDED FULL COOPERATION FOR FILM IN WHICH RUSSIAN TERRORISTS KIDNAP AIR FORCE ONE AND HOLD THE PRESIDENT HOSTAGE. USE OF FIGHTERS AND TRANSPORTS FOR AMBIANCE,Y
AIRPORT 75,,APPROVED,1974,"AIR FORCE PROVIDED USF OF A HELICOPTER IN SEQUENCE WHERE CHARLTON HESTON IS DROPPED INTO DAMAGED 747, BUT ONLY AFTER THE SERVICE ASCERTAINED THAT ITS HELICOPTER COULD ACTUALLY MATCH THE SPEED OF A 747",Y
AIRPORT 77,,APPROVED,1977,NAVY PROVIDED FULL COOPERATION IN THE FORM OF A SEARCH AND RESCUE UNIT AND UNDERWATER RESCUE VEHICLES FOR A TYPICAL DISASTER MOVIE ABOUT THE CRASH OF A PRIVATE 747 CARRYING PRICELESS ART TREASURES. THE SERVICE FELT THE FILM HIGHLIGHTED ITS UNDERWATER RESCUE CAPABILITIES.,Y
ALL HANDS ON DECK,,APPROVED,1961,NAVY PROVIDED USE OF LOCATIONS AND A SHIP FOR THIS COMEDY SET IN WORLD WAR II,
ALL THE YOUNG MEN,,APPROVED,1960,MARINES PROVIDED MEN AND EQUIPMENT FOR COMBAT SEQUENCES IN MOVIE SET IN KOREAN WAR,
ALOHA,,DENIED,2015,Approved access to former housing area at Joint Base Pearl Harbor-Hickam AFB,
AMAZING GRACE AND CHUCK,,DENIED,1987,"STORY DOES NOT ACCURATELY PORTRAY US EFFORTS TO MAINTAIN NUCLEAR DETERRENCE, TO SEEK ARMS REDUCTIONS, AND TO KEEP THE PEACE. ASSISTANCE DENIED. NO FILE",
AMBUSH BAY,,APPROVED,1966,MARINES PROVIDED TYPICAL ASSISTANCE OF MEN AND EQUIPMENT FOR WORLD WAR II MOVIE,
AMERICA,,APPROVED,1924,"FILM WAS D.W. GRIFFITH'S ATTEMPT TO DO FOR THE AMERICAN REVOLUTION WHAT BIRTH OF A NATION DID FOR THE CIVIL WAR AND RECONSTRUCTION. ARMY PROVIDED A CAVALRY UNIT, MEN, AND SUPPORT EQUIPMENT ON THEORY THAT ITS OFFICERS COULD STUDY TACTICS USED TO FIGHT THE REVOLUTION.",Y
AMERICAN GUERRILLA IN THE PHILIPPINES,,LIMITED,1950,NAVY PROVIDED A SHIP FOR A BRIEF SEQUENCE AT THE END OF THE FILM WHEN HERO IS RESCUED FROM HIDING PLACE.,
"AMERICAN PRESIDENT, THE",,APPROVED,1995,"PRODUCTION COMPANY REQUESTED MARINE MUSICIANS TO PORTRAY MARINE BAND, TECHNICAL ASSISTANCE, EXTRAS, TO ENACT WHITE HOUSE SOCIAL FUNCTIONS AND TO ASSURE THAT OTHER MILITARY PORTRAYALS ARE REASONABLY POSITIVE AND ACCURATE.",
AMERICANIZATION OF EMILY,,OTHER,1964,"FIRST AMERICAN MOVIE TO SHOW A MILITARY MAN AS A PROFESSED COWARD AND PROUD OF IT. JAMES GARNER IS A ""GO-FER' FOR HIS ADMIRAL IN THE WEEKS BEFORE D-DAY. THE ADMIRAL DECIDES THE FIRST DEAD AMERICAN ON OMAHA BEACH SHOULD BE A NAVY MAN. GARNER ULTIMATELY BECOMES A HERO AND EMILY APPROVES, THUS THE TITLE. NO RECORD OF COMPANY SEEKING COOPERATION GIVEN THE PORTRAYAL. HOWEVER, FILM IS IMPORTANT SINCE IT CONTAINED ANTI-WAR ARGUMENTS AS VIETNAM WAS HEATING UP.",Y
AN OFFICER AND A GENTLEMAN,,DENIED,1982,"THE NAVY DECLINED BECAUSE OF DAMAGING PORTRAYAL OF NAVY SINGLE PARENT LIFESTYLE, NEGATIVE PORTRAYAL OF WOMEN LIVING AROUND AIR STATION, AND A FIGHT BETWEEN OFFICER CANDIDATE AND DRILL INSTRUCTOR. FILMMAKERS WOULDN'T CHANGE THESE SCENES, SO ASSISTANCE BECAME IMPOSSIBLE. MARINES OFFERED TO COOPERATE, BUT PRODUCER DID NOT HAVE TIME. STILL, MARIN ES PROVIDED A DI. AS TECHNICAL ADVISOR AND OFF-DUTY MARINES AS EXTRAS",Y
ANCHORS AWAY,,LIMITED,1945,"NAVY PROVIDED LOCATIONS AND SHIPS AS BACKGROUND FOR END OF THE WAR SONG AND DANCE COMEDY, I.E., LEAD CHARACTERS ARE IN THE NAVY",
ANGEL‘S FLIGHT,,APPROVED,,"APPROVED BY THE DEPARTMENT AFTER BEING REVIEWED. THE DEPARTMENT FELT IT WOULD BE BENEFICIAL TO THE NAVY. NO FILE, NO RECORD FILM EVER PRODUCED.",
ANNAPOLIS FAREWELL,,APPROVED,1935,NAVY GRANTED ACCESS TO THE NAVAL ACADEMY GROUNDS AND MIDSHIPMEN AS BACKGROUND FOR TYPICAL SERVICE ACADEMY FILM.,
ANNAPOLIS SALUTE,,APPROVED,1937,NAVY GRANTED ACCESS TO THE NAVAL ACADEMY GROUNDS AND MIDSHIPMEN AS BACKGROUND FOR TYPICAL SERVICE ACADEMY FILM.,
ANNAPOLIS STORY,,APPROVED,1955,"NAVY PROVIDED FULL COOPERATION. NOT REALLY ABOUT ANNAPOLIS, BUT ABOUT CARRIER WARFARE DURING THE KOREAN WAR. A FEW SCENES TAKE PLACE AT ANNAPOLIS AND SOME DURING FLIGHT SCHOOL AT PENSACOLA.",
ANTWONE FISHER,THE ANTWONE FISHER STORY,APPROVED,2002,"AFTER THE NAVY WORKED ON SCRIPT NEGOTIATIONS FOR MONTHS, MAINLY ON CHARACTER ISSUES SUCH AS EXCESSIVE PROFANITY, THE FORMAL REQUEST CAME IN. FILMING ASSISTANCE CONSISTED OF FILMING FOR SEVERAL DAYS IN PORT AND AT SEA (SECOND UNIT) ON AN AMPHIBIOUS SHIP HOMEPORTED IN SAN DIEGO, CA, AND ALSO FILMING AT NAVAL STATION, NAVAL AIR STATION, AND BALBOA NAVAL HOSPITAL FOR SEVERAL DAYS AT EACH LOCATION, ALL IN THE SAN DIEGO AREA.",
ANZIO,,APPROVED,1968,TYPICAL ARMY SUPPORT FOR WORLD WAR II STORY SET IN FAMOUS ASSAULT.,
APOCALYPSE NOW,,DENIED,1979,"COPPOLA CAME INTO PENTAGON WITH SCRIPT WHICH HE SAID HAD NO ENDING YET BUT WANTED HELP. SINCE SCRIPT CALLED FOR ""TERMINATION"" OF ONE OFFICER BY ANOTHER, ARMY ALWAYS REFUSED TO CONSIDER ASSISTANCE. DESPITE SUBSEQUENT EFFORTS, DOD DID NOT ANSWER TELEGRAM TO PRESIDENT CARTER WHICH MARKED END OF COMMUNICATIONS ON FILM. ORIGINAL DOD FILE HAS DISAPPEARED. ENTIRE FILE WAS COPIED AND NOW AT GEORGETOWN UNIVERSITY LIBRARY.",Y
APOLLO 13,AKA LOST MOON,APPROVED,1995,"REQUESTED USE OF NAVY SHIP, ETC, TO REENACT CAPSULE RECOVERY AT END OF MISSION. ENTIRELY ACCURATE AND POSITIVE DEPICTIONS ALL AROUND.",
ARMAGEDDON,,APPROVED,1998,"PRODUCTION COMPANY ACCOMMODATED CONCERNS ABOUT DEPICTION OF JCS, CHAIRMAN & MILITARY ASTRONAUTS. APPROVED USE OF USAF LOCATIONS, HELICOPTER.",
ARMORED COMMAND,,APPROVED,1961,ARMY PROVIDED MEN AND EQUIPMENT FOR WORLD WAR II STORY,
ARMY WIVES,STRANGERS IN A STRANGE LAND,APPROVED,2008,"APPROVED FILMING FOR SEVERAL HOURS IN THE BASE EXCHANGE AT CHARLESTON AIR FORCE BASE, SC, FOR A DIALOGUE SEQUENCE PORTRAYING FAMILY MEMBERS SHOPPING.",
AT WAR WITH THE ARMY,,APPROVED,1951,DEAN MARTIN JERRY LEWIS COMEDY SET IN PEACETIME ARMY,
ATTACK!,,DENIED,1956,ATTACK! WAS THE FIRST MAJOR MILITARY MOVIE IN THE POST-WORLD WAR II PERIOD WHICH DID NOT RECEIVE ARMY COOPERATION BECAUSE OF THE STORY LINE IN WHICH AN ENLISTED MAN KILLED HIS COMMANDER DUE TO THE OFFICER'S INCOMPETENCE.,
AWAY ALL BOATS,,APPROVED,1956,"FULL NAVY COOPERATION PORTRAYING AMPHIBIOUS LANDINGS, USE OF SHIPS AND LANDING CRAFT",
BACK TO BATAAN,,APPROVED,1945,"AS TITLE SUGGESTS, A STORY ABOUT THE ARMY'S RETURN TO THE PHILIPPINES. JOHN WAYNE ACTION MOVIE. USE OF MEN AND EQUIPMENT FOR COMBAT SEQUENCES",
"BAILOUT AT 43,000 FEET",,APPROVED,1957,"FULL AIR FORCE COOPERATION ON STORY OF THE DEVELOPMENT OF THE EJECTION SYSTEM FOR B-475. MEN, PLANES, LOCALES",
BAMBOO PRISON,,APPROVED,1954,STORY ABOUT AMERICAN PRISONERS OF WAR DURING THE KOREAN WAR. LIMITED USE OF MEN AND EQUIPMENT,
BAMBOO SAUCER,,LIMITED,1968,CONVOLUTED SCIENCE FICTION STORY ABOUT A FLYING SAUCER. LIMITED AIR FORCE COOPERATION,Y
BAT 21 ,,APPROVED,1988,"INITIAL SCRIPT RECEIVED AIR FORCE APPROVAL S-MAR-B4. AIR FORCE FELT SCRIPT WAS AN EXCELLENT PORTRAYAL OF A TRUE INCIDENT THAT OCCURRED IN VIETNAM. HOWEVER, THE PROJECT WENT INTO LIMBO UNTIL 1987, THE THE AIR FORCE APPROVED A NEW SCRIPT, ONCE SOME CHANGES WERE MADE. ASSISTANCE WAS PROVIDED IN THE PHILIPPINES, BUT TWO OBJECTIONABLE SCENES REMAINED IN THE FILM, INCLUDING THE DESTRUCTION OF A VIETNAMESE VILLAGE. ACCORDINGLY, DOD DECLINED SCREEN CREDIT.",Y
BATAAN,,LIMITED,1943,"CLASSIC ARMY STORY ABOUT FALL OF BATAAN. GROUP OF AMERICAN SOLDIERS FIGHT REAR GUARD ACTION, DYING ONE BY ONE STORY FILMED AT STUDIO AND OBTAINED LIMITED ASSISTANCE IN THE FORM OF INFORMATION. ARMY APPROVED COMPLETED PRODUCTION",
BATMAN AND ROBIN,,LIMITED,1997,ARMY ALLOWED USE OF WIND TUNNEL AT FORT BRAGG FOR BRIFF SEQUENCE,
BATTLE AT BLOODY BEACH,,APPROVED,1961,"FULL ARMY COOPERATION ON WORLD WAR II FILM, MEN AND EQUIPMENT",
BATTLE BENEATH THE EARTH,,LIMITED,1968,"NAVY PROVIDED LIMITED ASSISTANCE ON THIS SCIENCE FICTION FILM, USE OF SHIP AND LOCALE",
BATTLE CIRCUS,,APPROVED,1953,"APPROVED ASSISTANCE, DATE APPROXIMATE",
BATTLE CRY,,APPROVED,1955,"THIS IS THE QUINTESSENTIAL MARINE FILM OF THE POST-WAR PERIOD. JOHN WAYNE MAY HAVE BEEN THE MARINE FOR MOST AMERICANS, BUT SOME FORMER MARINES SAY ""BATTLE CRY"" BETTER REPRESENTED THEIR EXPERIENCES IN BOOT CAMP AND IN THE PACIFIC. RECEIVED FULL COOPERATION AT THE RECRUIT DEPOT IN SAN DIEGO, CAMP PENDLETON, AND DURING A TRAINING EXERCISE ON VIEQUES ISLAND (PUERTO RICO).",Y
BATTLE GROUND,,APPROVED,1949,"CLASSIC ARMY PICTURE SET IN THE BATTLE OF THE BULGE. FOCUS ON ARMY UNIT TRYING TO HOLD THE LINE. EXCEPT FOR VERY SMALL AMOUNT OF COMBAT FOOTAGE AND ONE OUTDOOR SCENE, MOVIE SHOT ENTIRELY ON MGM SET. ARMY PROVIDED SOME SOLDIERS TO SERVE AS EXTRAS AND TRAIN ACTORS. CONSIDERED BY SOME TO BE ONE OF BEST WORLD WAR II FILMS",
BATTLE HYMN,,OTHER,1956,"STORY OF DEAN HESS, JET FIGHTER PILOT IN KOREA TURNED MINISTER. AIR FORCE GAVE FULL COOPERATION IN FORM OF PLANES, MEN, AND LOCALES",
BATTLE LOS ANGELES,BATTLE LA,APPROVED,2011,"APPROVED FILMING FOR APPROXIMATELY ONE WEEK AT BARKSDALE AIR FORCE BASE, LA. MOST OF THE FILMING TOOK PLACE ON THE FLIGHT LINE WITH STATIC AIR FORCE AND MARINE  CORPS FIXED-WING AND ROTARY-WING AIRCRAFT, DURING THE AUGUST OCTOBER PERIOD. A STATIC ARMY M1 MAIN BATTLE TANK WAS ALSO FILMED AT BARKSDALE. DURING THIS TIME FRAME, THE PRODUCTION COMPANY ALSO FILMED FLYING AND STATIC MARINE CORP HELICOPTERS AND CV-27 OSPREYS AT A CIVILIAN AIRPORT IN SHREVEPORT, LA.",
BATTLE STATIONS,,APPROVED,1956,"SLIGHTLY FICTIONALIZED STORY OF THE ATTACK ON THE USS FRANKLIN, CLOSE TO A DOCUDRAMA AND DOCUMENTARY OF LIFE ON A WORLD WAR II CARRIER. NAVY PROVIDED USE OF CARRIER AND COMBAT FOOTAGE.",
BATTLE TAXI,,APPROVED,1955,"UNEXCEPTIONAL STORY OF ARMY HELICOPTERS IN KOREA WAR. USE OF MEN, EQUIPMENT, HELICOPTERS",
BATTLE ZONE,,APPROVED,1952,KOREAN WAR FILM THAT RECEIVED COOPERATION,
BATTLEGROUND,,APPROVED,1949,FIRST POST-WAR ARMY MOVIE. FILMED ENTIRELY ON AN MGM SOUND STAGE ALTHOUGH SET IN WINTER DURING THE BATTLE OF THE BULGE. ARMY PROVIDED ACTIVE DUTY SOLDIERS AS EXTRAS,
BATTLESHIP,,APPROVED,2012,"APPROVED FILMING OF RIMPAC 2010. FILMED ON BOARD DDG-51 ARLEIGH BURKE CLASS DESTROYERS IN PORT AND UNDERWAY. FILMED FOR SEVERAL DAYS AT NAVAL BASE PEARL AND USS MISSOURI, AND IN AND AROUND THE VICINITY OF HONOLULU, HI, DURING THE SUMMER OF 2010. ALSO FILMED FOR ONE DAY, NOVE 20, 2010, AT THE INTREPID CENTER, BROOKE ARMY MEDICAL CENTER, SAN ANTONIO, TX.",Y
BEACH RED,,DENIED,1967,"MARINES LIKED SCRIPT AND PROVIDED COMBAT FOOTAGE WHICH CORNEL WILDE RESTORED. HOWEVER, THE CORPS THEN CONCLUDED THE FILM WOULD MAKE AN ANTI-WAR STATEMENT AT A TIME WHEN VIETNAM WAS ESCALATING AND DECLINED TO PROVIDE ACTUAL ASSISTANCE. INSTEAD, THE PRODUCTION COMPANY USED THE PHILIPPINE ARMY.",Y
BEACHHEAD,,LIMITED,1954,"MARINE CORPS INITIALLY TURNED DOWN REQUEST FOR COOPERATION SINCE FILM HAD A 50% CASUALTY RATE AT A TIME SERVICE WAS GEARING UP A MAJOR RECRUITING CAMPAIGN. FOUR MEN GO ON PATROL AND TWO DIE. HOWEVER, MARINES LIKED COMPLETED FILM AND PROVIDED THE MARINE BAND AT THE PREMIERE.",Y
"BEAR, THE",,APPROVED,1984,"ASSISTANCE WAS GIVEN EXCEPT FOR THE WWII VEHICLES OR AIRCRAFT FOR THE PRODUCTION. THIS IS A BIOGRAPHY OF BEAR BRYANT, THE ALABAMA FOOTBALL LEGEND. FILM BY THIS TITLE RELEASED IN 1984",
BEARDLESS WARRIORS,,OTHER,1964,NEED ADDITIONAL INFORMATION,
BEAST OF BUDAPEST,,LIMITED,1958,STORY OF HUNGARIAN UPRISING OF 1956. ARMY PROVIDED A FEW TANKS FOR SCENES OF SOVIET TANKS COMING INTO BUDAPEST,
BEDFORD INCIDENT,,DENIED,1965,"DIRECTOR & SCREENWRITER RECEIVED AN INFORMATIONAL TRIP ABOARD A DESTROYER. HOWEVER, THE SCRIPT, WHICH FEATURED AN UNACCEPTABLE DESTROYER CAPTAIN WHO PLAYS AN ULTIMATELY FATAL CAT AND MOUSE GAME WITH A SOVIET SUBMARINE. BRITISH PROVIDED ACTUAL DESTROYER AND HELICOPTER DURING THE FILMING.",
BEGINNING OF THE END,,OTHER,1957,"TYPICAL ATOMIC GENERATED ENEMY, IN THIS CASE GIANT GRASSHOPPERS, ILLINOIS NATIONAL GUARD TRIES AND FAILS TO STOP ADVANCE TOWARD CHICAGO. REGULAR ARMY BROUGHT IN IN FORM OF ABOUT FIVE MINUTES OF STOCK COMBAT FOOTAGE SHOWING TANKS, TRUCKS, ARTILLERY, MEN ALL FIRING AT GRASSHOPPERS WITHOUT SUCCESS. THE MILITARY (ACTORS TO BE SURE) APPEARS THROUGHOUT FILM AS AUTHORITY FIGURES DOING BEST TO SAVE THE WORLD.",Y
BEHIND ENEMY LINES,,APPROVED,2001,"AFTER PROTRACTED SCRIPT NEGOTIATIONS OVER CHARACTER AND TECHNICAL DETAILS, APPROVED FILMING INT AND EXT SCENES ABOARD SHIPS AND USN/USMC AIR STATIONS FOR THIS STORY INSPIRED BY THE USAF CAPT SCOTT O'GRADY BOSNIA SHOOTDOWN INCIDENT. REASONABLY POSITIVE DEPICTION AND RELATIVELY MODEST MILITARY ASSISTANCE, SINCE THE RESCUE OPERATION WILL BE FILMED IN SLOVAKIA WITH CIVILIAN HUEY AIRCRAFT.",
"BELL FOR ADANO, A",,LIMITED,1945,ARMY PROVIDED LIMITED ASSISTANCE (WHILE WAR WAS STILL GOING ON IN EUROPE) IN THE FORM OF MEN AND TRUCKS FOR STORY ABOUT REHABILITATION OF AN ITALIAN TOWN AFTER GERMANS HAD BEEN DRIVEN OUT.,
BENEATH THE FLESH,,LIMITED,,"PRODUCER REQUESTED TANKS, APCS, HUMVEES, 150 EXTRAS, ETC., ETC. EXPLOITIVE, GRISLY FILM ABOUT VAMPIRES ATTACKING AND DEVOURING PEOPLE AFTER A POLLUTING CHEMICAL COMPANY INADVERTENTLY DISTURBS THE TOMB OF AN ANCIENT AMERICAN INDIAN VAMPIRE. NATIONAL GUARD SHOWN SOMEWHAT INEPTLY COMBATING THE VAMPIRES, ALSO TWO SOLDIERS DEVOURED WHILE SMOKING MARIJUANA WHILE ON GUARD DUTY. NATIONAL GUARD TURNED DOWN CONCEPT AT NATIONAL GUARD LEVEL. NO FILE, NO RECORD THAT FILM WAS EVER MADE.",y - funny
BEST OF THE BEST,,DENIED,1989,"THE ARMY, NGB, AND DOD CONCURRED NOT SUPPORTING THE FILM, BECAUSE IT WAS INACCURATE AND NON-BENEFICIAL TO THE SERVICES. THE USE OF ALAMITOS ARMORY WAS DENIED. FILM WAS RELEASED IN 1999, A TYPICAL KARATE MOVIE.",
"BEST RANGER, THE",,DENIED,,DENIED BECAUSE THE US. MILITARY BECOMES INVOLVED IN A FICTIONAL MILITARY ATTEMPT ON PRESIDENT AQUINO'S LIFE AND A TAKE-OVER OF THE GOVERNMENT OF THE REPUBLIC OF THE PHILIPPINES. NO RECORD OF FILM BEING MADE,
BEST YEARS OF OUR LIVES,,LIMITED,1946,ARMY AIR CORPS PROVIDED LIMITED ASSISTANCE IN FORM OF FILMING ON BASE ON WHICH WWII PLANES WERE STORED UNTIL DESTROYED,
BETWEEN HEAVEN AND HELL,,APPROVED,1956,TYPICAL WORLD WAR II MOVIE IN WHICH HERO BECOMES A DIFFERENT PERSON FROM HIS EXPERIENCES. ARMY PROVIDED MEN AND EQUIPMENT,
BIG JIM MCLEAN,,LIMITED,1952,COLD WAR ESPIONAGE MOVIE WITH JOHN WAYNE AS HERO. NAVY PROVIDED LOCATIONS IN PEARL HARBOR FOR BACKGROUND SHOTS OF SHIPS AND WAYNE ABOARD A SHIP.,
"BIG LIFT, THE",,APPROVED,1950,"PORTRAYAL OF THE BERLIN AIRLIFT MADE ON LOCATION WITH FULL COOPERATION OF AIR FORCE WITH PLANES, MEN, AND LOCATIONS",
"BIG PARADE, THE",,APPROVED,1925,"THE BIG PARADE WAS THE FIRST GREAT MOVIE ABOUT THE ARMY IN WORLD WAR I. MOST PEOPLE CONSIDER IT AN ANTI-WAR FILM, BUT FILM ENDS HAPPILY WITH THE BOY GETTING THE GIRL. KING VIDOR FILMED MOST OF MOVIE IN LOS ANGELES. HOWEVER, FOR THE GREAT ADVANCE TO THE FRONT, HE SENT A SECOND UNIT DIRECTOR TO TEXAS TO SHOOT THE LONG LINE OF TROOPS AND EQUIPMENT MOVING TO THE FRONT IN A STRAIGHT LINE. COMMANDER SAID NO STRAIGHT ROADS IN FRANCE AND PROVIDED MEN, PLANES, AND EQUIPMENT FOR SEQUENCE ON CURVED ROAD. VIDOR WENT BACK, GOT SAME SUPPORT AND FILMED ADVANCE DOWN A STRAIGHT ROAD. MOST SIGNIFICANT HELP UNTIL WINGS IN 1927.",Y
BIG RED ONE,,OTHER,1980,"SAM FULLER TRIED FOR MANY YEARS TO MAKE A SEMI-AUTOBIOGRAPHICAL FILM ABOUT HIS EXPERIENCES IN THE ""BIG RED ONE."" WHEN HE FINALLY MADE IT, HAD TO USE EQUIPMENT IN ISRAEL. NO NEED TO REQUEST ASSISTANCE. HOWEVER, FILM IS HIGHLY POSITIVE IMAGE OF THE ARMY AND WAS FIRST POSITIVE MOVIE ABOUT ARMY SINCE THE END OF THE VIETNAM WAR.",Y
BILOXI BLUES,,APPROVED,1988,REQUEST FOR USE OF FORT CHAFFEE FOR FILMING WAS GRANTED. AFTER ACTION REPORT IN FILE AT GEORGETOWN UNIVERSITY LIBRARY.,
BIRDY,,DENIED,1984,"NO RECORD ON FILE AS TO WHETHER DOD APPROVED IT OR NOT. ASSISTANCE WAS SUPPOSEDLY BE GIVEN ON MAY 2, 1984, BUT NO FEEDBACK WAS EVER GIVEN. CONTAINS STRONG ANTI-WAR MESSAGE DATE APPROXIMATED, NO FILE.",
BIRTH OF A NATION,,APPROVED,1915,FIRST GREAT AMERICAN WAR MOVIE. WEST POINT PROVIDED SOME HISTORICAL. INFORMATION AND CANONS TO HELP CREATE A CIVIL WAR BATTLEFIELD,Y
BLACK HAWK DOWN,,APPROVED,2002,"SECRETARY OF DEFENSE MESSAGE TRANSMITTED INDICATING APPROVAL OF ASSISTANCE FILMMAKERS REQUESTED THE INVOLVEMENT OF BLACK HAWK AND ""LITTLE BIRD"" AIRCRAFT, PLUS APPROX. 25 FAST-ROPE-CAPABLE RANGERS, TO REENACT IN MOROCCO THE CONFLICT THAT TOOK PLACE IN MOGADISHU, SOMALIA, IN 1993, AS WRITTEN IN THE MARK BOWDEN BOOK OF THE SAME TITLE. BECAUSE THE INVOLVEMENT TOOK PLACE OVERSEAS, A FORMAL DEPLOYMENT ORDER WAS REQUIRED. ULTIMATELY THE DEPLOYMENT WAS APPROVED PERSONALLY BY THE CHAIRMAN OF THE JOINT CHIEFS OF STAFF [GEN HENRY SHELTON) AND THE SECRETARY OF DEFENSE (HON. DONALD RUMSFELD). THE B AIRCRAFT CAME FROM THE US ARMY SPECIAL OPERATIONS COMMAND AND CONSISTED OF 4 MH-E-(T AND 4 AHIMH-E LITTLE BIRDS, THE RANGERS, AND UP TO APPROX. SIXTY SUPPORT AND COMMAND AND CONTROL PERSONNEL DEPLOYED FOR APPROX. 2 MONTHS.",
BLOOD ALLEY,,OTHER,1955,NEED ADDITIONAL INFORMATION,
